modeldate,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,,,,,,
3/2/2020,Voters,43.730251,48.279658,39.180844,52.792261,57.449538,48.134984,3/2/2020 13:42,47.938997,51.876994,44.000999,41.219459,45.238133,37.200786
3/1/2020,Adults,41.470269,45.285696,37.654842,53.507357,57.950925,49.06379,3/2/2020 13:41,47.77639,51.643028,43.909752,41.252616,45.266021,37.239211
2/29/2020,All polls,43.17839,47.885063,38.471717,52.679613,57.226228,48.132998,3/2/2020 13:40,47.771533,51.641286,43.901779,41.252905,45.270532,37.235279
2/28/2020,Adults,41.424187,45.242707,37.605668,53.557556,58.005168,49.109945,3/2/2020 9:45,47.766774,51.639791,43.893757,41.252726,45.273897,37.231556
2/27/2020,Voters,44.032557,48.636477,39.428638,52.464612,57.121457,47.807766,3/2/2020 9:48,47.761715,51.638253,43.885176,41.252794,45.278213,37.227375
2/26/2020,All polls,43.324429,48.082603,38.566254,52.427441,56.952725,47.902157,3/2/2020 9:43,47.756064,51.636728,43.875399,41.252823,45.283207,37.222438
2/25/2020,Voters,44.032557,48.636479,39.428635,52.464612,57.121458,47.807765,2/29/2020 16:51,47.752032,51.633778,43.870285,41.279978,45.311899,37.248058
2/24/2020,Adults,41.424187,45.242707,37.605668,53.557556,58.005184,49.109929,2/29/2020 16:50,47.746851,51.632379,43.861323,41.278723,45.315205,37.242242
2/23/2020,All polls,43.324429,48.082606,38.566251,52.427441,56.952727,47.902156,2/29/2020 16:49,47.755598,51.620976,43.89022,41.288806,45.297652,37.27996
2/22/2020,Adults,41.526025,45.336391,37.71566,53.488407,57.913021,49.063794,2/28/2020 18:07,47.749935,51.619089,43.880781,41.287654,45.300585,37.274724
2/21/2020,Voters,44.17519,48.787708,39.562673,52.292412,56.96039,47.624434,2/28/2020 18:08,47.743357,51.615931,43.870783,41.285857,45.30268,37.269033
2/20/2020,All polls,43.452523,48.17846,38.726587,52.330694,56.886493,47.774895,2/28/2020 18:06,47.73635,51.612026,43.860674,41.283519,45.303892,37.263147
2/19/2020,Voters,44.094298,48.913509,39.275088,51.985257,56.877478,47.093037,2/27/2020 23:55,47.730434,51.609624,43.851245,41.280473,45.304865,37.256082
2/18/2020,Adults,41.526025,45.336395,37.715656,53.488407,57.913033,49.063782,2/27/2020 23:54,47.342274,51.383351,43.301197,41.786666,45.989853,37.583479
2/17/2020,All polls,43.39028,48.271116,38.509444,52.068106,56.804065,47.332148,2/27/2020 23:53,47.340384,51.383262,43.297505,41.776139,45.981209,37.571069
2/16/2020,Voters,44.015076,48.790769,39.239383,52.071253,56.970195,47.172311,2/26/2020 15:47,47.338836,51.383537,43.294135,41.765729,45.973187,37.558271
2/15/2020,Adults,41.526025,45.336363,37.715688,53.488407,57.913017,49.063798,2/26/2020 15:46,47.337366,51.383676,43.291056,41.754037,45.963994,37.544079
2/14/2020,All polls,43.242829,48.079469,38.406189,52.191632,56.931948,47.451317,2/26/2020 15:45,47.335982,51.384154,43.28781,41.741848,45.954314,37.529383
2/13/2020,Voters,44.219495,49.001005,39.437985,51.813526,56.704733,46.922319,2/25/2020 13:39,47.334446,51.384284,43.284607,41.730598,45.945268,37.515928
2/12/2020,Adults,41.436174,45.300283,37.572065,53.655948,58.133577,49.178318,2/25/2020 13:38,47.304918,51.424986,43.18485,41.674636,45.85587,37.493402
2/11/2020,All polls,43.27698,48.091026,38.462934,52.2268,56.994771,47.45883,2/25/2020 13:37,47.279577,51.402951,43.156202,41.718016,45.902304,37.533728
2/10/2020,Adults,41.621152,45.515787,37.726516,53.405953,57.867042,48.944863,2/24/2020 23:39,47.246125,51.365693,43.126557,41.545854,45.725317,37.366391
2/9/2020,Voters,44.033721,48.69588,39.371561,52.019836,56.8605,47.179171,2/24/2020 23:40,47.245527,51.365585,43.125469,41.536892,45.719263,37.354521
2/8/2020,All polls,43.296293,47.980601,38.611984,52.245174,56.963821,47.526526,2/24/2020 23:38,47.24521,51.365822,43.124599,41.526627,45.711871,37.341384
2/7/2020,Adults,41.621266,45.51568,37.726852,53.405936,57.866666,48.945206,2/24/2020 9:46,47.244458,51.366088,43.122828,41.51891,45.707207,37.330612
